#Titre
(-12.0400000000000, 5.05000000000001)
(-11.4000000000000, 5.10000000000000)
(-11.5000000000000, 4.56000000000000)
(-11.3400000000000, 4.55000000000001)
(-11.2100000000000, 5.12000000000001)
(-10.5600000000000, 5.16000000000001)
(-10.8400000000000, 3.44000000000000)
(-11.5200000000000, 3.40000000000000)
(-11.4000000000000, 4.15000000000000)
(-11.5400000000000, 4.16000000000000)
(-11.7100000000000, 3.37000000000000)
(-12.4000000000000, 3.32000000000000)
(-12.0400000000000, 5.05000000000001)
# , #
(-10.1400000000000, 5.20000000000001)
(-9.17000000000001, 5.28000000000001)
(-9.05000000000001, 5.26000000000001)
(-8.97000000000001, 5.21000000000001)
(-8.90000000000001, 5.13000000000001)
(-9.07000000000001, 3.84000000000000)
(-9.11000000000001, 3.75000000000000)
(-9.15000000000001, 3.67000000000000)
(-9.24000000000001, 3.59000000000000)
(-9.37000000000001, 3.55000000000000)
(-10.3900000000000, 3.46000000000000)
(-10.5000000000000, 3.50000000000000)
(-10.5800000000000, 3.58000000000000)
(-10.6100000000000, 3.69000000000000)
(-10.4100000000000, 4.97000000000001)
(-10.3400000000000, 5.07000000000001)
(-10.2600000000000, 5.14000000000001)
(-10.1400000000000, 5.20000000000001)
# , #
(-8.75000000000001, 5.28000000000001)
(-8.12000000000001, 5.30000000000001)
(-8.06000000000001, 4.61000000000001)
(-7.82000000000001, 5.33000000000001)
(-7.37000000000001, 5.34000000000001)
(-7.30000000000001, 4.66000000000001)
(-7.07000000000001, 5.38000000000001)
(-6.47000000000001, 5.38000000000001)
(-6.99000000000001, 3.68000000000000)
(-7.64000000000001, 3.67000000000000)
(-7.73000000000001, 4.32000000000000)
(-7.99000000000001, 3.64000000000000)
(-8.65000000000001, 3.61000000000000)
(-8.75000000000001, 5.28000000000001)
# , #
(-5.94000000000001, 5.40000000000001)
(-5.98000000000001, 5.07000000000001)
(-5.65000000000001, 5.06000000000000)
(-5.77000000000001, 3.73000000000000)
(-5.12000000000001, 3.75000000000000)
(-4.98000000000001, 5.07000000000001)
(-4.68000000000001, 5.09000000000001)
(-4.65000000000001, 5.44000000000001)
(-5.94000000000001, 5.40000000000001)
# , #
(-4.68000000000001, 5.09000000000001)
(-4.23000000000000, 5.47000000000001)
(-4.68000000000001, 5.09000000000001)
(-4.65000000000001, 5.44000000000001)
(-4.52000000000000, 5.25000000000001)
(-4.45000000000001, 5.38000000000001)
(-4.35000000000000, 5.44000000000001)
(-4.23000000000000, 5.47000000000001)
(-3.26000000000000, 5.49000000000001)
(-3.18000000000000, 5.46000000000001)
(-3.13000000000000, 5.41000000000001)
(-3.06000000000000, 5.34000000000001)
(-3.11000000000000, 4.03000000000000)
(-3.15000000000000, 3.94000000000000)
(-3.23000000000000, 3.86000000000000)
(-3.34000000000000, 3.81000000000000)
(-4.44000000000001, 3.77000000000000)
(-4.53000000000001, 3.83000000000000)
(-4.58000000000001, 3.89000000000000)
(-4.60000000000000, 3.97000000000000)
(-4.68000000000001, 5.09000000000001)
# , #
(-2.46000000000000, 5.49000000000001)
(-1.19000000000000, 5.50000000000001)
(-1.19000000000000, 5.17000000000001)
(-1.49000000000000, 5.15000000000001)
(-1.53000000000000, 3.83000000000000)
(-2.16000000000000, 3.82000000000000)
(-2.15000000000000, 5.15000000000001)
(-2.46000000000000, 5.17000000000001)
(-2.46000000000000, 5.49000000000001)
# , #
(-1.04000000000000, 5.50000000000001)
(0.130000000000000, 5.51000000000001)
(0.250000000000000, 5.46000000000001)
(0.350000000000000, 5.34000000000001)
(0.390000000000000, 5.23000000000001)
(0.400000000000000, 5.06000000000000)
(0.360000000000000, 4.92000000000001)
(0.290000000000000, 4.84000000000001)
(0.160000000000000, 4.74000000000001)
(0.280000000000000, 4.68000000000001)
(0.360000000000000, 4.58000000000001)
(0.390000000000000, 4.48000000000001)
(0.400000000000000, 4.43000000000001)
(0.410000000000000, 3.84000000000000)
(-0.230000000000000, 3.84000000000000)
(-0.260000000000000, 4.50000000000001)
(-0.290000000000000, 4.55000000000001)
(-0.430000000000000, 4.54000000000001)
(-0.460000000000001, 3.84000000000000)
(-1.07000000000000, 3.84000000000000)
(-1.04000000000000, 5.50000000000001)
# , #
(0.490000000000001, 3.83000000000000)
(0.750000000000001, 5.48000000000001)
(1.74000000000000, 5.48000000000001)
(2.13000000000000, 3.82000000000000)
(1.44000000000000, 3.82000000000000)
(1.40000000000000, 4.18000000000000)
(1.21000000000000, 4.18000000000000)
(1.15000000000000, 3.83000000000000)
(0.490000000000001, 3.83000000000000)
# , #
(2.18000000000000, 5.48000000000001)
(2.79000000000000, 5.48000000000001)
(2.88000000000000, 3.81000000000000)
(2.24000000000000, 3.81000000000000)
(2.18000000000000, 5.48000000000001)
# , #
(3.01000000000000, 5.47000000000001)
(3.62000000000000, 5.47000000000001)
(3.91000000000000, 4.81000000000000)
(3.92000000000000, 5.44000000000001)
(4.46000000000001, 5.43000000000001)
(4.60000000000000, 3.76000000000000)
(4.01000000000000, 3.76000000000000)
(3.65000000000000, 4.53000000000001)
(3.66000000000000, 3.80000000000000)
(3.08000000000000, 3.80000000000000)
(3.01000000000000, 5.47000000000001)
# , #
(5.09000000000001, 5.40000000000001)
(5.68000000000001, 5.40000000000001)
(5.89000000000001, 5.01000000000001)
(6.05000000000001, 5.38000000000001)
(6.64000000000001, 5.36000000000001)
(6.30000000000001, 4.38000000000000)
(6.37000000000001, 3.70000000000000)
(5.70000000000001, 3.70000000000000)
(5.65000000000001, 4.35000000000000)
(5.09000000000001, 5.40000000000001)
# , #
(6.72000000000001, 5.15000000000001)
(6.74000000000001, 5.24000000000001)
(6.80000000000001, 5.30000000000001)
(6.87000000000001, 5.33000000000001)
(7.86000000000001, 5.31000000000001)
(8.00000000000000, 5.27000000000001)
(8.10000000000001, 5.20000000000001)
(8.17000000000001, 5.11000000000001)
(8.38000000000001, 3.85000000000000)
(8.38000000000001, 3.73000000000000)
(8.33000000000001, 3.68000000000000)
(8.26000000000001, 3.63000000000000)
(7.17000000000001, 3.62000000000000)
(7.05000000000001, 3.66000000000000)
(6.95000000000001, 3.76000000000000)
(6.87000000000001, 3.86000000000000)
(6.72000000000001, 5.15000000000001)
# , #
(8.39000000000001, 5.25000000000001)
(8.98000000000001, 5.22000000000001)
(9.22000000000001, 3.96000000000000)
(9.28000000000001, 3.90000000000000)
(9.35000000000001, 3.90000000000000)
(9.38000000000001, 3.97000000000000)
(9.21000000000001, 5.20000000000001)
(9.82000000000001, 5.17000000000001)
(10.0800000000000, 3.83000000000000)
(10.0700000000000, 3.66000000000000)
(10.0300000000000, 3.58000000000000)
(9.98000000000001, 3.52000000000000)
(9.90000000000001, 3.50000000000000)
(8.87000000000001, 3.54000000000000)
(8.75000000000001, 3.59000000000000)
(8.66000000000001, 3.68000000000000)
(8.59000000000001, 3.79000000000000)
(8.56000000000001, 3.94000000000000)
(8.39000000000001, 5.25000000000001)
# , #
(10.0600000000000, 5.14000000000001)
(11.2300000000000, 5.07000000000001)
(11.4000000000000, 5.00000000000000)
(11.5100000000000, 4.92000000000001)
(11.5700000000000, 4.82000000000001)
(11.6100000000000, 4.72000000000001)
(11.6200000000000, 4.59000000000001)
(11.6000000000000, 4.44000000000001)
(11.4300000000000, 4.30000000000000)
(11.5600000000000, 4.23000000000000)
(11.6700000000000, 4.13000000000000)
(11.7500000000000, 3.96000000000000)
(11.7900000000000, 3.80000000000000)
(11.8500000000000, 3.37000000000000)
(11.2000000000000, 3.40000000000000)
(11.0800000000000, 4.00000000000000)
(11.0300000000000, 4.09000000000000)
(10.9400000000000, 4.13000000000000)
(10.8900000000000, 4.12000000000000)
(10.9700000000000, 3.43000000000000)
(10.3300000000000, 3.45000000000000)
(10.0600000000000, 5.14000000000001)
# , #
(-19.3600000000000, 2.41000000000000)
(-14.6000000000000, 3.04000000000000)
(-14.0000000000000, 3.00000000000000)
(-13.5600000000000, 2.82000000000000)
(-13.2600000000000, 2.49000000000000)
(-13.1300000000000, 2.13000000000000)
(-13.2600000000000, -3.16000000000000)
(-13.3600000000000, -3.77000000000000)
(-13.6100000000000, -4.31000000000000)
(-13.9400000000000, -4.61000000000001)
(-14.4800000000000, -4.87000000000001)
(-19.8100000000000, -5.48000000000001)
(-19.3600000000000, 2.41000000000000)
# , #
(-12.6900000000000, 2.14000000000000)
(-7.83000000000001, 2.36000000000000)
(-7.33000000000001, 2.25000000000000)
(-6.97000000000001, 2.06000000000000)
(-6.69000000000001, 1.75000000000000)
(-6.56000000000001, 1.36000000000000)
(-6.52000000000001, 0.870000000000001)
(-6.56000000000001, 0.290000000000000)
(-6.78000000000001, -0.270000000000000)
(-7.09000000000001, -0.620000000000001)
(-7.40000000000001, -0.800000000000001)
(-7.09000000000001, -0.990000000000001)
(-6.80000000000001, -1.36000000000000)
(-6.63000000000001, -1.80000000000000)
(-6.58000000000001, -2.28000000000000)
(-6.63000000000001, -4.44000000000001)
(-9.51000000000001, -4.56000000000000)
(-9.48000000000001, -2.02000000000000)
(-9.59000000000001, -1.84000000000000)
(-9.98000000000001, -1.84000000000000)
(-10.0700000000000, -4.60000000000000)
(-12.9300000000000, -4.74000000000001)
(-12.6900000000000, 2.14000000000000)
# , #
(-6.63000000000001, -4.44000000000001)
(-5.28000000000001, 2.44000000000000)
(-1.00000000000000, 2.50000000000000)
(0.180000000000000, -4.38000000000000)
(-2.77000000000000, -4.38000000000000)
(-2.92000000000000, -2.94000000000000)
(-3.50000000000000, -2.93000000000000)
(-3.70000000000000, -4.39000000000000)
(-6.63000000000001, -4.44000000000001)
# , #
(0.280000000000000, 1.18000000000000)
(0.390000000000000, 1.64000000000000)
(0.690000000000001, 2.12000000000000)
(1.08000000000000, 2.37000000000000)
(1.56000000000000, 2.49000000000000)
(5.02000000000000, 2.43000000000000)
(5.51000000000001, 2.35000000000000)
(5.92000000000001, 2.19000000000000)
(6.20000000000001, 2.00000000000000)
(6.40000000000001, 1.73000000000000)
(6.54000000000001, 1.32000000000000)
(6.61000000000001, 0.0900000000000001)
(3.70000000000000, 0.170000000000000)
(3.68000000000000, 0.610000000000001)
(3.58000000000000, 0.730000000000001)
(3.43000000000000, 0.770000000000001)
(3.29000000000000, 0.740000000000001)
(3.22000000000000, 0.640000000000001)
(3.20000000000000, -2.60000000000000)
(3.30000000000000, -2.75000000000000)
(3.52000000000000, -2.79000000000000)
(3.67000000000000, -2.65000000000000)
(3.68000000000000, -2.13000000000000)
(3.45000000000000, -2.11000000000000)
(3.44000000000000, -0.460000000000001)
(6.57000000000001, -0.540000000000001)
(6.61000000000001, -4.56000000000000)
(5.08000000000001, -4.53000000000001)
(4.91000000000001, -4.16000000000000)
(4.64000000000001, -4.36000000000000)
(4.21000000000000, -4.50000000000001)
(1.68000000000000, -4.49000000000001)
(1.05000000000000, -4.37000000000000)
(0.660000000000001, -4.11000000000000)
(0.410000000000000, -3.75000000000000)
(0.280000000000000, -3.17000000000000)
(0.280000000000000, 1.18000000000000)
# , #
(6.97000000000001, 1.17000000000000)
(7.10000000000001, 1.62000000000000)
(7.40000000000001, 2.00000000000000)
(7.80000000000001, 2.20000000000000)
(8.11000000000001, 2.24000000000000)
(11.7300000000000, 2.07000000000000)
(12.2500000000000, 1.97000000000000)
(12.7500000000000, 1.70000000000000)
(13.0700000000000, 1.32000000000000)
(13.2000000000000, 0.960000000000001)
(13.3500000000000, -3.62000000000000)
(13.2800000000000, -4.08000000000000)
(13.1100000000000, -4.45000000000001)
(12.8500000000000, -4.74000000000001)
(12.4600000000000, -4.87000000000001)
(8.65000000000001, -4.76000000000001)
(8.04000000000001, -4.65000000000001)
(7.55000000000001, -4.42000000000001)
(7.20000000000001, -4.00000000000000)
(7.00000000000000, -3.40000000000000)
(6.97000000000001, 1.17000000000000)
# , #
(13.5600000000000, 1.90000000000000)
(16.2800000000000, 1.64000000000000)
(17.2700000000000, -0.730000000000001)
(17.2500000000000, 1.56000000000000)
(19.8200000000000, 1.27000000000000)
(20.0500000000000, -5.61000000000001)
(17.3700000000000, -5.34000000000001)
(16.2900000000000, -2.60000000000000)
(16.3000000000000, -5.23000000000001)
(13.6900000000000, -5.01000000000001)
(13.5600000000000, 1.90000000000000)
